country,movie_count,avg_rating,total_rating_count
苏联,29,7.982758620689655,96358
伊朗,69,7.562318840579709,560279
波兰,50,7.4079999999999995,411859
芬兰,32,7.353125,59050
希腊,26,7.315384615384615,365029
奥地利,61,7.283606557377049,644235
捷克,28,7.221428571428571,1109312
挪威,34,7.220588235294118,142421
瑞士,94,7.191489361702128,2035763
西德,84,7.175000000000001,177012
以色列,42,7.145238095238096,50944
英国,1910,7.09675392670157,33627035
瑞典,183,7.054644808743169,1041380
法国,2279,7.049275998244844,22554334
意大利,748,7.04539385847797,6811020
丹麦,136,7.038235294117648,799874
荷兰,63,7.03015873015873,557376
日本,3448,6.980365429234339,28797547
阿根廷,79,6.954430379746835,408218
爱尔兰,119,6.907563025210084,1317108
比利时,232,6.878879310344828,1395403
葡萄牙,49,6.875510204081632,80225
德国,1051,6.873549000951475,14339309
巴西,100,6.85,594811
俄罗斯,214,6.824299065420561,893749
墨西哥,67,6.795522388059702,414322
西班牙,472,6.771186440677966,3529272
匈牙利,36,6.738888888888889,260275
印度,395,6.728860759493671,5118845
卢森堡,45,6.646666666666667,276618
罗马尼亚,43,6.588372093023256,79718
新西兰,23,6.543478260869565,1671907
中国台湾,557,6.540933572710951,9600089
澳大利亚,272,6.522794117647059,5452173
美国,6885,6.50877269426289,130659575
新加坡,22,6.463636363636363,586182
中国香港,1913,6.3659174072138,46444383
加拿大,708,6.3057909604519775,8918800
南非,39,6.233333333333333,517680
韩国,1161,6.200172265288544,14757974
泰国,250,5.9796000000000005,1683479
中国大陆,3149,5.711781517942204,67829532
